Period_Start,Period_End,Sales Office,Email,ALDI Representative,Vendor #,Vendor Name,Generic Article,Article Description,Sold Units ,Sold Cases ,Store Stock Cases ,Warehouse Stock Cases ,Region Stock Cases 
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,2057,340,425,248.0,673
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,3354,275,239,157.0,396
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,3838,317,238,182.0,420
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,2483,409,430,191.0,621
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1971,161,208,80.0,288
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,6647,550,328,497.0,825
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,3391,239,590,,590
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,1701,138,136,,136
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,2022,164,106,,106
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,4226,349,793,,793
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1815,148,257,,257
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,1229,99,210,,210
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,2384,195,278,,278
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,2904,204,250,,250
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,3732,309,434,,434
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,2772,227,579,,579
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,2393,396,349,,349
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,4124,340,298,,298
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,3473,245,321,,321
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,2179,153,196,,196
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,13828,1150,615,,615
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,5235,870,268,231.0,499
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,5121,635,851,,851
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,2836,469,742,,742
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,4135,341,363,,363
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,5548,460,446,,446
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,2955,489,668,,668
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,2493,204,385,,385
12/05/2025,18/05/2025,Prestons,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,8557,709,527,,527
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,2124,148,353,105.0,458
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,2933,241,281,0.0,281
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1714,139,162,,162
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,3599,297,266,,266
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1451,119,165,0.0,165
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,936,75,141,,141
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1604,131,182,,182
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,2251,158,180,0.0,180
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,2201,179,288,162.0,450
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,1686,137,194,0.0,194
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,1031,169,195,0.0,195
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,4035,333,200,0.0,200
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,2996,210,197,0.0,197
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,7870,653,342,,342
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,3719,617,167,167.0,334
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,3302,410,256,,256
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,2081,344,312,,312
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,3998,331,378,0.0,378
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,3848,317,270,0.0,270
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,2367,392,477,17.0,494
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1811,149,278,,278
12/05/2025,18/05/2025,Dandenong,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,5496,455,361,61.0,422
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,2374,167,352,1067.0,1419
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,1889,154,218,109.0,327
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1912,156,58,,58
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,3297,271,208,229.0,437
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1497,121,134,114.0,248
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,915,74,110,71.0,181
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1835,150,157,116.0,273
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,1844,128,130,52.0,182
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,2466,202,225,158.0,383
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,2197,180,158,349.0,507
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,964,157,164,366.0,530
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,2862,236,167,188.0,355
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,2494,175,163,119.0,282
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,991,68,33,,33
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,6843,567,325,958.0,1283
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,3124,517,147,78.0,225
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,3021,375,245,300.0,545
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,1822,300,422,295.0,717
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,2346,191,194,191.0,385
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,3722,307,232,204.0,436
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,1883,311,374,333.0,707
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1765,145,178,170.0,348
12/05/2025,18/05/2025,Brendale,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,4933,408,276,683.0,959
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,1254,87,209,117.0,326
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,1329,106,171,151.0,322
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1254,101,145,51.0,196
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,1804,148,127,268.0,395
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,677,54,98,104.0,202
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,614,49,87,19.0,106
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,920,75,111,169.0,280
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,936,63,99,155.0,254
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,1059,84,143,205.0,348
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,977,78,110,131.0,241
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,597,98,119,181.0,300
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,2077,169,114,183.0,297
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,1567,109,117,133.0,250
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,831,55,103,33.0,136
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,3851,318,180,439.0,619
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,1911,316,101,176.0,277
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,1832,227,156,270.0,426
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,1114,184,212,257.0,469
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,1600,130,132,221.0,353
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,1566,127,156,201.0,357
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,1181,194,266,319.0,585
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1044,84,143,170.0,313
12/05/2025,18/05/2025,Regency Park,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,3183,262,194,380.0,574
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,1839,129,403,183.0,586
